Inlet TDS (g/kg),Flow (L/s),Recovery,CAPEX (kUSD/year),OPEX (kUSD/year),Status
80.39032929,6.435175869,0.451654202,270.5712362,1259.855018,1
80.39032929,6.435175869,0.207906701,0,0,0
80.39032929,6.435175869,0.311309167,171.3620013,704.9342104,1
80.39032929,6.435175869,0.167535726,82.80662491,355.8885815,1
80.39032929,6.435175869,0.724717047,666.4899104,5491.705931,1
80.39032929,6.435175869,0.148120025,0,0,0
80.39032929,6.435175869,0.539620808,0,0,0
80.39032929,6.435175869,0.367179214,0,0,0
80.39032929,6.435175869,0.072326476,0,0,0
80.39032929,6.435175869,0.555949449,369.9147519,2013.563903,1
80.39032929,6.435175869,0.583388578,405.9437562,2313.422882,1
80.39032929,6.435175869,0.110937441,55.17845398,236.6530054,1
80.39032929,6.435175869,0.100751526,50.38022895,215.7578343,1
80.39032929,6.435175869,0.09984652,49.9566998,213.9066234,1
112.2359336,6.435175869,0.050403216,0,0,0
112.2359336,6.435175869,0.451654202,323.6069903,1991.36511,1
112.2359336,6.435175869,0.207906701,0,0,0
112.2359336,6.435175869,0.311309167,0,0,0
112.2359336,6.435175869,0.167535726,96.13015267,445.3662565,1
112.2359336,6.435175869,0.148120025,84.55130231,388.1825359,1
112.2359336,6.435175869,0.539620808,435.3126363,3111.989426,1
112.2359336,6.435175869,0.367179214,238.3042514,1317.412026,1
112.2359336,6.435175869,0.072326476,40.64072274,187.5222257,1
112.2359336,6.435175869,0.555949449,459.4504895,3397.042028,1
112.2359336,6.435175869,0.583388578,0,0,0
112.2359336,6.435175869,0.110937441,0,0,0
112.2359336,6.435175869,0.100751526,56.86985918,258.8081047,1
112.2359336,6.435175869,0.09984652,56.34881767,256.4682,1
171.6831778,6.435175869,0.050403216,32.72378475,204.842778,1
171.6831778,6.435175869,0.207906701,0,0,0
171.6831778,6.435175869,0.311309167,249.2827084,1945.944171,1
171.6831778,6.435175869,0.167535726,118.2319544,781.6844037,1
171.6831778,6.435175869,0.148120025,102.9359251,669.2546417,1
171.6831778,6.435175869,0.367179214,0,0,0
171.6831778,6.435175869,0.072326476,0,0,0
171.6831778,6.435175869,0.110937441,74.95930994,474.3840996,1
171.6831778,6.435175869,0.100751526,0,0,0
171.6831778,6.435175869,0.09984652,0,0,0
108.5917909,6.435175869,0.050403216,30.17132021,132.5773937,1
108.5917909,6.435175869,0.451654202,316.8125718,1892.298141,1
108.5917909,6.435175869,0.207906701,120.0137023,555.8141509,1
108.5917909,6.435175869,0.311309167,187.4597836,949.5029239,1
108.5917909,6.435175869,0.167535726,95.57485009,432.0897917,1
108.5917909,6.435175869,0.148120025,84.03899795,376.6261793,1
108.5917909,6.435175869,0.539620808,426.3015447,2946.717047,1
108.5917909,6.435175869,0.367179214,233.5323125,1255.603815,1
108.5917909,6.435175869,0.072326476,40.36427658,182.3545562,1
108.5917909,6.435175869,0.555949449,450.0136101,3213.9265,1
108.5917909,6.435175869,0.583388578,0,0,0
108.5917909,6.435175869,0.110937441,0,0,0
108.5917909,6.435175869,0.100751526,0,0,0
108.5917909,6.435175869,0.09984652,55.97635359,249.0419239,1
190.4413155,6.435175869,0.050403216,34.85945822,236.2103865,1
190.4413155,6.435175869,0.207906701,0,0,0
190.4413155,6.435175869,0.311309167,0,0,0
190.4413155,6.435175869,0.167535726,0,0,0
190.4413155,6.435175869,0.148120025,109.6617375,792.0949933,1
190.4413155,6.435175869,0.072326476,0,0,0
190.4413155,6.435175869,0.110937441,79.87437749,557.925883,1
190.4413155,6.435175869,0.100751526,0,0,0
190.4413155,6.435175869,0.09984652,0,0,0
68.03980394,6.435175869,0.050403216,29.55499792,103.8469819,1
68.03980394,6.435175869,0.451654202,260.7296816,1068.838604,1
68.03980394,6.435175869,0.207906701,100.2220619,420.9627904,1
68.03980394,6.435175869,0.311309167,153.7644977,652.2898659,1
68.03980394,6.435175869,0.167535726,80.80797965,337.8201072,1
68.03980394,6.435175869,0.724717047,599.3629414,4147.96581,1
68.03980394,6.435175869,0.148120025,71.70378443,298.7738735,1
68.03980394,6.435175869,0.539620808,0,0,0
68.03980394,6.435175869,0.367179214,189.3551075,793.1831797,1
68.03980394,6.435175869,0.072326476,37.7841589,149.0610732,1
68.03980394,6.435175869,0.555949449,339.8197675,1612.089761,1
68.03980394,6.435175869,0.583388578,364.5030239,1816.7055,1
68.03980394,6.435175869,0.110937441,54.69516779,225.1631504,1
68.03980394,6.435175869,0.100751526,50.14678083,205.1450427,1
68.03980394,6.435175869,0.09984652,49.74534939,203.3669408,1
79.85766369,6.435175869,0.050403216,29.71308783,110.9516498,1
79.85766369,6.435175869,0.451654202,270.2502182,1251.999691,1
79.85766369,6.435175869,0.207906701,0,0,0
79.85766369,6.435175869,0.311309167,0,0,0
79.85766369,6.435175869,0.167535726,82.69375334,355.0202215,1
79.85766369,6.435175869,0.724717047,0,0,0
79.85766369,6.435175869,0.148120025,0,0,0
79.85766369,6.435175869,0.539620808,349.2006309,1839.95727,1
79.85766369,6.435175869,0.367179214,0,0,0
79.85766369,6.435175869,0.072326476,37.3353682,157.4076927,1
79.85766369,6.435175869,0.555949449,368.3748215,1994.187598,1
79.85766369,6.435175869,0.583388578,404.183921,2290.42109,1
79.85766369,6.435175869,0.110937441,55.13799756,236.122715,1
79.85766369,6.435175869,0.100751526,50.3516504,215.272901,1
79.85766369,6.435175869,0.09984652,49.9291722,213.4254866,1
144.0142048,6.435175869,0.050403216,0,0,0
144.0142048,6.435175869,0.451654202,378.2647352,3009.29729,1
144.0142048,6.435175869,0.207906701,0,0,0
144.0142048,6.435175869,0.311309167,223.8281365,1448.160974,1
144.0142048,6.435175869,0.167535726,105.878524,598.8372437,1
144.0142048,6.435175869,0.148120025,92.26421183,515.1026108,1
144.0142048,6.435175869,0.367179214,0,0,0
144.0142048,6.435175869,0.072326476,0,0,0
144.0142048,6.435175869,0.110937441,67.33611658,368.9881412,1
144.0142048,6.435175869,0.100751526,60.75153044,331.9126735,1
144.0142048,6.435175869,0.09984652,60.17132175,328.6757121,1
192.953597,6.435175869,0.050403216,35.14201495,240.7349363,1
192.953597,6.435175869,0.207906701,0,0,0
192.953597,6.435175869,0.311309167,0,0,0
192.953597,6.435175869,0.167535726,126.9172465,948.9509526,1
192.953597,6.435175869,0.148120025,110.5280105,809.8701592,1
192.953597,6.435175869,0.072326476,51.10493553,352.2549241,1
192.953597,6.435175869,0.110937441,80.51239916,569.9867684,1
192.953597,6.435175869,0.100751526,0,0,0
192.953597,6.435175869,0.09984652,0,0,0
184.9393463,6.435175869,0.050403216,34.23736912,226.5828438,1
184.9393463,6.435175869,0.207906701,158.6767564,1182.655152,1
184.9393463,6.435175869,0.311309167,0,0,0
184.9393463,6.435175869,0.167535726,123.7288191,882.8035254,1
184.9393463,6.435175869,0.148120025,107.7344201,754.3084676,1
184.9393463,6.435175869,0.367179214,0,0,0
184.9393463,6.435175869,0.072326476,49.79375389,330.2444414,1
184.9393463,6.435175869,0.110937441,0,0,0
184.9393463,6.435175869,0.100751526,0,0,0
184.9393463,6.435175869,0.09984652,0,0,0
73.78656052,6.435175869,0.050403216,0,0,0
73.78656052,6.435175869,0.451654202,0,0,0
73.78656052,6.435175869,0.207906701,101.5701629,431.6591428,1
73.78656052,6.435175869,0.311309167,160.0030497,673.1783499,1
73.78656052,6.435175869,0.167535726,81.57179301,345.7538865,1
73.78656052,6.435175869,0.724717047,631.5466571,4741.030594,1
73.78656052,6.435175869,0.148120025,0,0,0
73.78656052,6.435175869,0.539620808,0,0,0
73.78656052,6.435175869,0.367179214,201.6810069,828.0466329,1
73.78656052,6.435175869,0.072326476,37.48377714,153.0853945,1
73.78656052,6.435175869,0.555949449,350.5824849,1779.247715,1
73.78656052,6.435175869,0.583388578,383.5366623,2041.233769,1
73.78656052,6.435175869,0.110937441,54.79886823,230.3335651,1
73.78656052,6.435175869,0.100751526,50.14123755,209.9487588,1
73.78656052,6.435175869,0.09984652,49.73015428,208.1401689,1
116.4798472,6.435175869,0.050403216,30.06315012,139.3935121,1
116.4798472,6.435175869,0.451654202,331.4014063,2110.750004,1
116.4798472,6.435175869,0.207906701,121.2026416,591.9367225,1
116.4798472,6.435175869,0.311309167,0,0,0
116.4798472,6.435175869,0.167535726,96.67971609,460.4611032,1
116.4798472,6.435175869,0.148120025,85.06549501,401.3366274,1
116.4798472,6.435175869,0.539620808,0,0,0
116.4798472,6.435175869,0.367179214,244.4109529,1391.063869,1
116.4798472,6.435175869,0.072326476,40.92618646,193.4060039,1
116.4798472,6.435175869,0.555949449,470.1596152,3619.664445,1
116.4798472,6.435175869,0.583388578,0,0,0
116.4798472,6.435175869,0.110937441,0,0,0
116.4798472,6.435175869,0.100751526,57.25490041,267.3551635,1
116.4798472,6.435175869,0.09984652,56.73090771,264.9292561,1
84.01009243,6.435175869,0.050403216,29.79794399,113.632709,1
84.01009243,6.435175869,0.451654202,0,0,0
84.01009243,6.435175869,0.207906701,106.1160893,453.3826745,1
84.01009243,6.435175869,0.311309167,176.8954912,732.2563081,1
84.01009243,6.435175869,0.167535726,83.62912397,362.0740337,1
84.01009243,6.435175869,0.148120025,73.78466803,319.4763326,1
84.01009243,6.435175869,0.539620808,360.4564196,1980.440243,1
84.01009243,6.435175869,0.367179214,0,0,0
84.01009243,6.435175869,0.072326476,37.33264621,160.4606504,1
84.01009243,6.435175869,0.555949449,0,0,0
84.01009243,6.435175869,0.583388578,417.7960431,2472.970297,1
84.01009243,6.435175869,0.110937441,55.49643727,240.3775615,1
84.01009243,6.435175869,0.100751526,0,0,0
84.01009243,6.435175869,0.09984652,0,0,0
126.6673467,6.435175869,0.050403216,0,0,0
126.6673467,6.435175869,0.451654202,349.5377112,2416.632092,1
126.6673467,6.435175869,0.207906701,125.6202064,658.3279185,1
126.6673467,6.435175869,0.311309167,0,0,0
126.6673467,6.435175869,0.167535726,98.13937087,499.9953708,1
126.6673467,6.435175869,0.148120025,85.93194285,431.439983,1
126.6673467,6.435175869,0.539620808,0,0,0
126.6673467,6.435175869,0.367179214,257.8205866,1581.417968,1
126.6673467,6.435175869,0.072326476,41.45963707,206.9655957,1
126.6673467,6.435175869,0.555949449,0,0,0
126.6673467,6.435175869,0.110937441,63.92143039,316.8923936,1
126.6673467,6.435175869,0.100751526,57.95580484,287.0309898,1
126.6673467,6.435175869,0.09984652,57.4271481,284.4083456,1
140.7202048,6.435175869,0.050403216,0,0,0
140.7202048,6.435175869,0.451654202,373.0308917,2889.140787,1
140.7202048,6.435175869,0.207906701,0,0,0
140.7202048,6.435175869,0.311309167,220.5939775,1395.919695,1
140.7202048,6.435175869,0.167535726,104.4346595,579.3570485,1
140.7202048,6.435175869,0.148120025,91.01456842,498.5898518,1
140.7202048,6.435175869,0.367179214,275.5480262,1870.3728,1
140.7202048,6.435175869,0.072326476,42.33007654,227.6858388,1
140.7202048,6.435175869,0.110937441,66.43823791,357.5805344,1
